batch_size=256
discount_factor=0.99
epsilon=1.0
epsilon_min=0.005
epsilon_steps=5000
hidden_sizes=[]
learning_rate=0.001
train_start=100
opponent=random0.5
Round 153: lose - 5 cards left - win rate: 24.03%, avg reward: -107.53
Round 154: lose - 4 cards left - win rate: 23.87%, avg reward: -107.12
Round 155: win - win rate: 23.72%, avg reward: -106.65
Round 156: win - win rate: 24.2%, avg reward: -105.46
Round 157: lose - 2 cards left - win rate: 24.68%, avg reward: -104.08
Round 158: win - win rate: 24.53%, avg reward: -103.68
Round 159: lose - 4 cards left - win rate: 25.0%, avg reward: -102.62
Round 160: win - win rate: 24.84%, avg reward: -102.38
Round 161: lose - 4 cards left - win rate: 25.31%, avg reward: -101.36
Round 162: win - win rate: 25.15%, avg reward: -101.14
Round 163: lose - 3 cards left - win rate: 25.61%, avg reward: -100.44
Round 164: lose - 1 cards left - win rate: 25.45%, avg reward: -100.12
Round 165: lose - 4 cards left - win rate: 25.3%, avg reward: -99.52
Round 166: lose - 2 cards left - win rate: 25.15%, avg reward: -99.01
Round 167: win - win rate: 25.0%, avg reward: -98.46
Round 168: win - win rate: 25.44%, avg reward: -97.16
Round 169: win - win rate: 25.88%, avg reward: -96.47
Round 170: lose - 5 cards left - win rate: 26.32%, avg reward: -95.36
Round 171: win - win rate: 26.16%, avg reward: -95.15
Round 172: lose - 3 cards left - win rate: 26.59%, avg reward: -94.12
Round 173: win - win rate: 26.44%, avg reward: -93.71
Round 174: win - win rate: 26.86%, avg reward: -92.79
Round 175: win - win rate: 27.27%, avg reward: -92.15
Round 176: win - win rate: 27.68%, avg reward: -91.62
Round 177: win - win rate: 28.09%, avg reward: -91.03
Round 178: lose - 8 cards left - win rate: 28.49%, avg reward: -90.31
Round 179: lose - 6 cards left - win rate: 28.33%, avg reward: -90.1
Round 180: win - win rate: 28.18%, avg reward: -90.06
Round 181: win - win rate: 28.57%, avg reward: -89.18
Round 182: win - win rate: 28.96%, avg reward: -88.45
Round 183: win - win rate: 29.35%, avg reward: -87.91
Round 184: win - win rate: 29.73%, avg reward: -87.23
Round 185: win - win rate: 30.11%, avg reward: -86.59
Round 186: lose - 4 cards left - win rate: 30.48%, avg reward: -85.79
Round 187: win - win rate: 30.32%, avg reward: -85.66
Round 188: lose - 4 cards left - win rate: 30.69%, avg reward: -85.13
Round 189: lose - 7 cards left - win rate: 30.53%, avg reward: -84.93
Round 190: lose - 1 cards left - win rate: 30.37%, avg reward: -84.83
Round 191: lose - 1 cards left - win rate: 30.21%, avg reward: -84.42
Round 192: win - win rate: 30.05%, avg reward: -84.09
Round 193: win - win rate: 30.41%, avg reward: -83.41
Round 194: lose - 6 cards left - win rate: 30.77%, avg reward: -82.75
Round 195: lose - 8 cards left - win rate: 30.61%, avg reward: -82.52
Round 196: win - win rate: 30.46%, avg reward: -82.3
Round 197: win - win rate: 30.81%, avg reward: -81.69
Round 198: win - win rate: 31.16%, avg reward: -80.81
Round 199: win - win rate: 31.5%, avg reward: -79.27
Round 200: win - win rate: 31.84%, avg reward: -78.7
Round 201: lose - 3 cards left - win rate: 32.18%, avg reward: -77.92
Round 202: lose - 2 cards left - win rate: 32.02%, avg reward: -77.62
Round 203: win - win rate: 31.86%, avg reward: -77.36
Round 204: win - win rate: 32.2%, avg reward: -76.87
Round 205: win - win rate: 32.52%, avg reward: -75.97
Round 206: lose - 9 cards left - win rate: 32.85%, avg reward: -75.49
Round 207: win - win rate: 32.69%, avg reward: -75.45
Round 208: win - win rate: 33.01%, avg reward: -74.59
Round 209: win - win rate: 33.33%, avg reward: -74.16
Round 210: win - win rate: 33.65%, avg reward: -73.69
Round 211: win - win rate: 33.96%, avg reward: -73.17
Round 212: win - win rate: 34.27%, avg reward: -72.36
Round 213: win - win rate: 34.58%, avg reward: -71.14
Round 214: lose - 1 cards left - win rate: 34.88%, avg reward: -70.67
Round 215: win - win rate: 34.72%, avg reward: -70.35
Round 216: lose - 4 cards left - win rate: 35.02%, avg reward: -69.53
Round 217: win - win rate: 34.86%, avg reward: -69.28
Round 218: lose - 8 cards left - win rate: 35.16%, avg reward: -68.94
Round 219: lose - 3 cards left - win rate: 35.0%, avg reward: -68.89
Round 220: lose - 6 cards left - win rate: 34.84%, avg reward: -68.69
Round 221: win - win rate: 34.68%, avg reward: -68.7
Round 222: lose - 5 cards left - win rate: 34.98%, avg reward: -67.93
Round 223: win - win rate: 34.82%, avg reward: -67.87
Round 224: lose - 4 cards left - win rate: 35.11%, avg reward: -67.16
